09:44:12 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
17:36:37 [AccountInfo] Account connected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
17:37:44 [AccountInfo] Account disconnected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
17:38:43 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
17:38:58 [AccountInfo] Account connected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
17:39:43 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
17:39:52 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
18:02:44 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
18:02:54 [AccountInfo] Account connected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
18:08:32 [AccountInfo] Account connected (Account: wagner43, IpAddress: 177.200.71.241, GameServerCode: 0)
18:24:46 [AccountInfo] Account disconnected (Account: wagner43, IpAddress: 177.200.71.241, GameServerCode: 0)
18:34:49 [AccountInfo] Account connected (Account: wagner43, IpAddress: 177.200.71.241, GameServerCode: 0)
19:12:32 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
19:12:40 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
19:31:32 [AccountInfo] Account disconnected (Account: wagner43, IpAddress: 177.200.71.241, GameServerCode: 0)
19:54:25 [AccountInfo] Account connected (Account: wagner43, IpAddress: 177.200.71.241, GameServerCode: 0)
20:02:17 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:02:50 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:17:41 [AccountInfo] Account disconnected (Account: wagner43, IpAddress: 177.200.71.241, GameServerCode: 0)
20:32:33 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
21:01:40 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.79.16.42, GameServerCode: 0)
21:05:38 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.79.16.42, GameServerCode: 0)
21:07:01 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.79.16.42, GameServerCode: 0)
21:07:16 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.79.16.42, GameServerCode: 0)
21:08:35 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.79.11.219, GameServerCode: 0)
21:08:41 [AccountInfo] Account connected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
21:09:40 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.79.11.219, GameServerCode: 0)
21:18:09 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.79.16.42, GameServerCode: 0)
21:19:15 [AccountInfo] Account connected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
21:24:46 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.79.16.42, GameServerCode: 0)
21:24:53 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.79.11.219, GameServerCode: 0)
21:34:24 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.79.11.219, GameServerCode: 0)
21:40:02 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
21:50:33 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
21:51:36 [AccountInfo] Account connected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
22:00:11 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
22:16:24 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
